head,tail,relation
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,英国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,澳大利亚,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,韩国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,日本,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,日本,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,荷兰,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,印度,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,荷兰,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,英国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,美国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,德国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,印度,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,俄罗斯,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,巴西,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,德国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,法国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,意大利,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,法国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,意大利,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,巴西,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,美国,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,澳大利亚,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,德国,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,荷兰,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,法国,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,英国,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,俄罗斯,出口
肉类及食用肉类内脏,中国,进口
肉类及食用肉类内脏,意大利,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,澳大利亚,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,德国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,法国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,美国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,荷兰,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,日本,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,英国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,英国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,意大利,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,韩国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,韩国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,美国,进口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,中国,出口
乳制品、禽蛋、天然蜂蜜等动物源可食用产品,澳大利亚,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,日本,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,美国,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,韩国,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,俄罗斯,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,巴西,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,荷兰,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,意大利,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,德国,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,英国,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,澳大利亚,进口
蔬菜和某些可食用的块、茎,中国,进口
蔬菜和某些可食用的块、茎,美国,出口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,印度,进口
蔬菜和某些可食用的块、茎,中国,出口
蔬菜和某些可食用的块、茎,法国,进口
蔬菜和某些可食用的块、茎,中国,进口
蔬菜和某些可食用的块、茎,澳大利亚,出口
蔬菜和某些可食用的块、茎,中国,进口
蔬菜和某些可食用的块、茎,印度,出口
蔬菜和某些可食用的块、茎,中国,进口
蔬菜和某些可食用的块、茎,法国,出口
水果和坚果,中国,进口
水果和坚果,美国,出口
水果和坚果,中国,进口
水果和坚果,澳大利亚,出口
水果和坚果,中国,出口
水果和坚果,美国,进口
水果和坚果,中国,出口
水果和坚果,德国,进口
水果和坚果,中国,出口
水果和坚果,日本,进口
水果和坚果,中国,出口
水果和坚果,荷兰,进口
水果和坚果,中国,出口
水果和坚果,俄罗斯,进口
水果和坚果,中国,进口
水果和坚果,俄罗斯,出口
水果和坚果,中国,出口
水果和坚果,澳大利亚,进口
水果和坚果,中国,出口
水果和坚果,英国,进口
水果和坚果,中国,出口
水果和坚果,韩国,进口
水果和坚果,中国,进口
水果和坚果,意大利,出口
水果和坚果,中国,出口
水果和坚果,意大利,进口
水果和坚果,中国,出口
水果和坚果,印度,进口
水果和坚果,中国,进口
水果和坚果,韩国,出口
水果和坚果,中国,出口
水果和坚果,法国,进口
水果和坚果,中国,进口
水果和坚果,印度,出口
糖和糖果,中国,进口
糖和糖果,巴西,出口
糖和糖果,中国,出口
糖和糖果,美国,进口
糖和糖果,中国,进口
糖和糖果,美国,出口
糖和糖果,中国,进口
糖和糖果,韩国,出口
糖和糖果,中国,出口
糖和糖果,韩国,进口
糖和糖果,中国,出口
糖和糖果,澳大利亚,进口
糖和糖果,中国,进口
糖和糖果,印度,出口
糖和糖果,中国,进口
糖和糖果,德国,出口
糖和糖果,中国,进口
糖和糖果,日本,出口
糖和糖果,中国,进口
糖和糖果,澳大利亚,出口
糖和糖果,中国,出口
糖和糖果,俄罗斯,进口
糖和糖果,中国,出口
糖和糖果,英国,进口
糖和糖果,中国,出口
糖和糖果,荷兰,进口
糖和糖果,中国,出口
糖和糖果,日本,进口
糖和糖果,中国,进口
糖和糖果,法国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,韩国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,日本,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,韩国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,德国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,日本,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,美国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,美国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,澳大利亚,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,印度,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,澳大利亚,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,俄罗斯,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,荷兰,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,巴西,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,德国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,俄罗斯,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,意大利,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,英国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,法国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,英国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,印度,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,法国,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,巴西,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,意大利,出口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,中国,进口
无机化学品；贵金属的有机和无机化合物；稀土金属、放射性元素和同位素,荷兰,出口
烟草和人造烟草替代品,中国,进口
烟草和人造烟草替代品,韩国,出口
烟草和人造烟草替代品,中国,进口
烟草和人造烟草替代品,巴西,出口
烟草和人造烟草替代品,中国,进口
烟草和人造烟草替代品,日本,出口
烟草和人造烟草替代品,中国,进口
烟草和人造烟草替代品,法国,出口
烟草和人造烟草替代品,中国,出口
烟草和人造烟草替代品,日本,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,印度,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,澳大利亚,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,日本,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,韩国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,美国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,日本,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,巴西,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,意大利,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,美国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,韩国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,印度,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,荷兰,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,俄罗斯,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,俄罗斯,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,澳大利亚,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,意大利,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,德国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,法国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,德国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,英国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,巴西,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,法国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,英国,出口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,中国,进口
盐；硫磺、泥土，石头；抹灰材料、石灰和水泥,荷兰,出口
药品,中国,进口
药品,德国,出口
药品,中国,进口
药品,美国,出口
药品,中国,出口
药品,美国,进口
药品,中国,进口
药品,法国,出口
药品,中国,进口
药品,意大利,出口
药品,中国,进口
药品,英国,出口
药品,中国,进口
药品,日本,出口
药品,中国,出口
药品,英国,进口
药品,中国,出口
药品,德国,进口
药品,中国,进口
药品,澳大利亚,出口
药品,中国,出口
药品,韩国,进口
药品,中国,出口
药品,印度,进口
药品,中国,进口
药品,荷兰,出口
药品,中国,出口
药品,巴西,进口
药品,中国,出口
药品,法国,进口
药品,中国,出口
药品,澳大利亚,进口
药品,中国,出口
药品,意大利,进口
药品,中国,出口
药品,日本,进口
药品,中国,出口
药品,俄罗斯,进口
药品,中国,出口
药品,荷兰,进口
药品,中国,进口
药品,韩国,出口
药品,中国,进口
药品,印度,出口
药品,中国,进口
药品,巴西,出口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,法国,出口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,澳大利亚,出口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,德国,出口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,英国,出口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,日本,出口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,韩国,出口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,美国,出口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,韩国,进口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,意大利,出口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,荷兰,出口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,日本,进口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,澳大利亚,进口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,美国,进口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,法国,进口
饮料、烈酒和醋,中国,进口
饮料、烈酒和醋,俄罗斯,出口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,荷兰,进口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,俄罗斯,进口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,德国,进口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,英国,进口
饮料、烈酒和醋,中国,出口
饮料、烈酒和醋,意大利,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,巴西,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,美国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,俄罗斯,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,韩国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,澳大利亚,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,日本,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,美国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,荷兰,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,印度,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,德国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,日本,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,韩国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,俄罗斯,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,英国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,德国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,澳大利亚,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
